name,openalex_id,decision,reason,chosen_name,orcid,affiliation,member_affiliation,total_works,project_ids
Hsiang-Wen Lin,A5003956817,accept,"China Medical University profile has a consistent pharmacy, outcomes and health-utility record, including EQ-5D studies and Taiwan nationwide EQ-5D-Y valuation work. EQ-5D coauthors A. Simon Pickard and Nan Luo further support the Taiwan valuation identity.",Hsiang‐Wen Lin,0000-0002-6771-6746,China Medical University,,68,2016440
Hesam Ghiasvand,A5011771775,accept,"The University of Warwick profile is a coherent health-services, economic-evaluation and quality-of-life record. Its applied health-technology-assessment work is consistent with the EQ-5D vision bolt-on content-validity project; no incompatible identity evidence is supplied.",Hesam Ghiasvand,0000-0002-3110-6954,University of Warwick,,60,2423-BT
Helen Harcombe,A5081829233,accept,"University of Otago record is a coherent New Zealand injury, occupational-health and musculoskeletal portfolio. Its strong Sarah Derrett coauthorship and prospective worker/injury cohort studies fit the NZ EQ-5D behavioural-risk project.",Helen Harcombe,0000-0002-2612-1789,University of Otago,,56,2015160
Henry Bailey,A5090969739,accept,"The University of the West Indies profile has an EQ-5D valuation and health-economics record, including the exact head-on EQ-VT/crosswalk study and Trinidad and Tobago value-set work. Paul Kind and other EuroQol coauthors corroborate the identity.",Henry Bailey,0000-0002-4479-9948,University of the West Indies,The University of the West Indies,41,1414-EO;1767-RA;20170390;20180040R1;341-RA;357-RA
Hilton Lam,A5071601943,accept,"The University of the Philippines Manila profile is coherently public-health and health-economic, with quality-of-life and cost-effectiveness work in the Philippines. The small EQ-5D topic cluster supports the Philippine EQ-5D-5L valuation project.",Hilton Y. Lam,0000-0003-4042-5997,University of the Philippines Manila,,104,20170230
Ilan Koppen,A5031557006,accept,"Exact name and Emma Kinderziekenhuis affiliation; the profile is a coherent pediatric gastroenterology record. It includes pediatric functional-constipation quality-of-life research, directly consistent with the EQ-5D-Y pediatric gastroenterology project.",Ilan J.N. Koppen,0000-0002-1856-0968,Emma Kinderziekenhuis,,98,1468-RA
Ilias Goranitis,A5023451391,accept,"Exact name and a coherent health-economics, quality-of-life, and rare-genomics record at the University of Melbourne. The profile includes a rare-genetic-conditions study of generic quality-of-life measures, directly matching the supplied psychometric project.",Ilias Goranitis,0000-0001-7946-8324,The University of Melbourne,,153,454-RA
Ines Buchholz,A5043257626,accept,"Exact name and a quality-of-life/psychometrics record at Universität Hamburg. It contains the EQ-5D-5L measurement-properties systematic review and the 2025 German skin, self-confidence, and social-health EQ-5D-5L bolt-on study matching both projects.",Ines Buchholz,0000-0001-9729-6992,Universität Hamburg,None,41,1785-RA;2016170
Irina Kinchin,A5054485095,accept,"Exact name and a coherent Trinity College Dublin health-economics, quality-of-life, dementia, and palliative-care record. The 2025 Value in Health article comparing EQ-HWB, EQ-5D-5L and ICECAP-A in Ireland directly matches the supplied project.",Irina Kinchin,0000-0003-0133-2763,Trinity College Dublin,,93,1676-RA;1912-RA;235-RA
Iwan van der Horst,A5024802434,accept,"The exact-name profile is a large, coherent critical-care/ICU record, with extensive work on sepsis, cardiopulmonary support, and ICU outcomes. That specialty directly fits the supplied ICU proxy quality-of-life interview project; no conflicting identity signal is supplied.",Iwan C.C. van der Horst,0000-0003-3891-8522,Cardiovascular Institute Hospital,,342,1539-SG
Jan Abel Olsen,A5052181611,accept,"Exact name and UiT affiliation align with the supplied member evidence. The dominant record is health economics, preferences, QALYs, EQ-5D-5L and quality-of-life inequalities, with coauthors Paul Dolan, Jeff Richardson and Gang Chen; it directly supports the listed EQ-5D projects.",Jan Abel Olsen,0000-0001-9472-2669,UiT The Arctic University of Norway,"Department of Community Medicine, UiT The Arctic University of Norway",191,1830-RA;1973-TVG;2295-RA
Jan Busschbach,A5020122364,accept,"Exact name, Erasmus MC affiliation, and extensive EQ-5D research align directly with the member and valuation-project evidence. Key works cover EQ-5D-5L/3L measurement, interim scoring, Dutch tariff and valuation studies; the wider transplant and mental-health portfolio remains coherent with HRQoL research.",Jan J.V. Busschbach,0000-0002-8602-0381,Erasmus MC,Erasmus MC,523,2013240;2015230;2016040;2016421;20170160
Jan Faller,A5043601549,accept,"The exact-name Monash Health profile is a coherent health-economics record. Work on generic preference-based measures, informal carers, cost-effectiveness and mental-health interventions, with established health-economics coauthors, fits the supplied EuHEA/IHEA travel-scholarship evidence.",Jan Faller,0000-0001-7645-2079,Monash Health,,14,1851-TVG;2197-EO
Jan Heijdra Suasnabar,A5050459768,accept,"Exact name and Leiden University Medical Center affiliation; the record includes HRQoL measurement research and health-economic work, with Brendan Mulhern as a coauthor, coherently supporting the EQ-5D-5L older-populations project.",Jan M. Heijdra Suasnabar,0000-0002-8057-1318,Leiden University Medical Center,,7,2265-EO;2301-RA
Jan Henrik Terheyden,A5069023369,accept,"Exact name and University of Bonn affiliation. The dominant, cohesive record is ophthalmology/retinal disease with vision-related quality-of-life studies, directly consistent with EQ-5D-5L vision bolt-ons in macular degeneration and diabetic eye disease.",Jan Henrik Terheyden,0000-0002-0174-4066,University of Bonn,,97,2357-BT
Jan Verhaar,A5035697100,accept,"The Erasmus MC orthopaedic record is strongly coherent with the registry-based EQ-5D inequalities project: extensive hip/knee arthroplasty and osteoarthritis research, including a 2025 study of socioeconomic inequalities in PROMs among arthroplasty patients.",Jan A.N. Verhaar,0000-0003-3016-9600,Erasmus MC,,575,200-RA
Janine van Til,A5070605387,accept,"Exact name and University of Twente affiliation. The profile consistently covers health economics, quality of life, preferences, and patient-reported/shared decision-making outcomes, matching the project's clinical value and prediction of EQ-5D outcomes.",Janine A. van Til,0000-0002-5416-5893,University of Twente,,135,285-PHD
Janine Verstraete,A5006452129,accept,"Exact name and University of Cape Town affiliation; extensive direct EQ-5D-Y, EQ-5D-Y proxy, TANDI, and young-child HRQoL research aligns closely with the listed Youth projects. The core contemporary record and EuroQol coauthors are coherent.",Janine Verstraete,0000-0002-1148-4747,University of Cape Town,University of Cape Town,88,142-RA;147-RA;1681-RA;1859-TVG;1928-RA;20180730;20190200;20190670;2226-TR;2633-TVG;365-RA;425-RA;426-RA
Jennifer Jelsma,A5064611767,accept,"Exact name and University of Cape Town affiliation; extensive coherent rehabilitation and child HRQoL record includes EQ-5D-Y development, validation, and recent EQ-TIPS work, directly matching the supplied Youth projects.",Jennifer Jelsma,0000-0003-4049-8395,University of Cape Town,University of Cape Town,162,1713-RA;2013110;2014200;2016120;2016180;20170250;20170540;20170650;20190030;20190500;20191210
Jenny Downs,A5045593878,accept,"Exact name; a large, coherent paediatric neurodevelopmental and intellectual-disability research record, including Rett/CDKL5 and disability support, directly supports the EQ-5D-Y intellectual-disability project.",Jenny Downs,0000-0001-7358-9037,The Kids Research Institute Australia,,334,429-RA
Jeremy Dietz,A5078556304,accept,"Exact name and NICE affiliation; the compact record is consistently health-technology assessment and economic evaluation, including cost-utility methods and NICE social-care outcomes work, consistent with EQ-HWB applications in HTA.",Jeremy Dietz,,National Institute for Health and Care Excellence,,6,1879-EO
Jermaine Dambi,A5081348197,accept,"Name variant Jermaine M. Dambi at the University of Zimbabwe; coherent Zimbabwe health, rehabilitation, HIV and digital-health portfolio includes a 2026 EQ-5D-5L Shona digital-versus-paper equivalence study and coauthorship with Jennifer Jelsma.",Jermaine M. Dambi,0000-0002-2446-7903,University of Zimbabwe,,81,212-RA
Jeshika Singh,A5036902866,accept,"Exact name; sustained health-economics and preference/HRQoL record with frequent coauthor Louise Longworth includes EQ-5D psychometric review, valuation studies, and EQ-5D-5L analysis, matching the supplied valuation project.",Jeshika Singh,0000-0003-3321-5481,Daiichi Sankyo (United States),,30,2015390
Jessica Roydhouse,A5010221662,accept,"Recent EQ-HWB proxy-in-dementia work directly matches her project, and the wider record coherently centers on patient-reported outcomes, quality of life, oncology, and respondent burden.",Jessica Roydhouse,0000-0002-8025-5841,University of Tasmania,,123,1557-RA;2134-RA
Jia Jia Lee,A5050544932,accept,"The record contains EQ-5D-5L Singapore norms and health-related quality-of-life research in obesity, bariatric care, and children; this is coherent with the proposed EQ-HWB and EQ-5D-Y projects.",Jia Jia Lee,0000-0001-7821-9131,,,,1971-EO;2125-RA;2179-RA;2299-EO
Jiabi Wen,A5001767251,accept,"The profile includes the exact EQ-DAPHNIE country-related DIF abstract named in the project, plus EQ-5D-5L mapping, EQ-5D-Y-5L validation, and Alberta quality-of-life/economic-evaluation work.",Jiabi Wen,0000-0001-9579-9625,University of Alberta,,13,2288-EO
Jill Carlton,A5051490866,accept,"University of Sheffield profile is strongly coherent in preference-weighted measures, health-state valuation, patient involvement and EQ-HWB; it includes the exact content-validity review protocol and relevant valuation research.",Jill Carlton,0000-0002-9373-7663,University of Sheffield,,171,1988-RA;2148-RA
Jose Luis Pinto-Prades,A5017788431,accept,"The near-exact accented name and Navarra affiliation align with a coherent health-economics/valuation record. Numerous examples directly concern EQ-5D tariffs, EQ-5D-5L valuation, QALYs, stated preferences, and time/preference methods.",José Luis Pinto Prades,0000-0002-9684-3410,Universidad de Navarra,,171,2015210
John Yfantopoulos,A5050078092,accept,"Exact name and University of Athens affiliation align. The record is coherently health economics and includes Greek EQ-5D validity and EQ-5D-3L/5L psychometric studies, directly consistent with valuation of the EQ-5D-5L in Greece.",John Yfantopoulos,0000-0003-0424-6887,National and Kapodistrian University of Athens,University of Athens,125,1710-VS
Joshua Bonsel,A5090783923,accept,"Joshua M. Bonsel at Erasmus MC has a coherent orthopaedic PROM/EQ-5D record, including EQ-5D studies in arthroplasty, scoliosis, and socioeconomic inequalities that directly match his orthopaedic clinical-practice and registry projects.",Joshua M. Bonsel,0000-0002-9143-5506,Erasmus MC,,14,145-RA;1483-TVG;287-PHD
Juan Cabasés,A5039017875,accept,"Juan Manuel Cabasés Hita has a long, coherent health-economics and quality-of-life record, including Spanish EQ-5D-5L validity norms, EQ-5D-5L valuation, and cross-country EQ-5D surveys; this fits the named economics-affiliated EuroQol researcher.",Juan Manuel Cabasés Hita,0000-0003-0207-4137,Universidad de Navarra,"Department of Economics, Universidad Pública de Navarra",141,
Juan M. Ramos-Goñi,A5047957689,accept,"Juan Manuel Ramos-Goñi's profile is directly aligned: extensive EQ-5D valuation, protocol, quality-control, population-norm, and utility-calculation work, with EuroQol valuation coauthors, matches his Maths in Health affiliation and listed valuation/tool projects.",Juan Manuel Ramos-Goñi,0000-0002-9568-5190,SGH Warsaw School of Economics,Maths in Health,96,2013320;2014210;2016430;2016510;2016610;20170310R2;2588-TR;450-RA;74-RA
Juanita Haagsma,A5060133399,accept,"Juanita A. Haagsma at Erasmus MC has a coherent trauma, injury, health-outcomes, and quality-of-life record. Her substantial work on injury recovery, health impact, and EQ-5D-relevant outcomes fits the extensive Erasmus MC EuroQol descriptive-systems and COVID projects.",Juanita A. Haagsma,0000-0002-2055-548X,Erasmus MC,Erasmus MC,360,141-RA;1498-PHD;151-RA;1604-RA;1954-RA;20180330;20180380;20180630;20190120;2159-RA;2426-PHD;243-RA;2456-BT;315-RA;420-RA;460-RA;77-RA
Julie Ratcliffe,A5070505553,accept,"Exact name, Flinders affiliation, and a strongly coherent health-economics and aged-care quality-of-life record fit the project. Specific works include EQ-5D-5L South Australian population norms, Australian EQ-5D weights, generic preference-based instruments in older care settings, and aged-care quality-of-life research.",Julie Ratcliffe,0000-0001-7365-1988,Flinders University,,507,194-RA
Juntana Pattanaphesaj,A5040546783,accept,"Exact name and a focused Thai health-economics/EQ-5D record directly match the project. The profile includes The EQ-5D-5L Valuation study in Thailand, Thai EQ-5D-5L versus 3L work, Asian EQ-5D valuation comparisons, and a relevant Ministry of Public Health affiliation.",Juntana Pattanaphesaj,0000-0003-1426-6777,Ministry of Public Health,,9,2013030
Katie Spencer,A5073760994,accept,"Exact name, University of Leeds affiliation, and a coherent cancer/palliative-radiotherapy portfolio fit the palliative-care EQ-5D outcome project. Relevant examples include Palliative radiotherapy and a population-based study of 30-day mortality in adult palliative radiotherapy; core coauthors and topics are consistently oncology-focused.",Katie Spencer,0000-0002-6846-4341,University of Leeds,,89,20180670
Katy Gallop,A5091811569,accept,"Exact-name profile is a patient-reported outcomes and HRQoL researcher at Lloyd's, with repeated work on conceptual models and quality of life across diseases; its health-economic/QoL focus aligns with the EQ-5D bolt-on projects.",Katy Gallop,0000-0002-6826-3865,Lloyd's,,77,1884-RA;2011-RA;2014-RA;2432-BT
Kelly de Ligt,A5000687889,accept,"Exact-name Tilburg profile has a coherent cancer survivorship and HRQoL record, including 2025 melanoma HRQoL and patient-reported outcome implementation studies, directly consistent with screening emotional distress in advanced melanoma.",Kelly M. de Ligt,0000-0001-9218-617X,Tilburg University,,68,2317-RA
Kidu Gidey,A5040157120,accept,"Exact-name Mekelle University profile explicitly includes the 2025 systematic review 'Health-related quality of life in COVID-19 patients: a systematic review and meta-analysis of EQ-5D studies,' matching the supplied project.",Kidu Gidey,0000-0002-7363-1327,Mekelle University,,40,1627-RA
Kim Dalziel,A5078953009,accept,"Exact-name Melbourne profile has sustained paediatric HRQoL and health-economics work, including EQ-5D-Y-5L feasibility research and paediatric PROM comparisons, consistent with the supplied EQ-5D-Y projects.",Kim Dalziel,0000-0003-4972-8871,The University of Melbourne,,237,111-RA;2017-RA;330-PHD;361-RA
Kim Rand,A5041551368,accept,"Exact name and Akershus University Hospital affiliation match the member evidence. The core record is extensive EQ-5D valuation and health-economics work, including EuroQol TTO protocols, national EQ-5D-5L value sets, and valuation modelling.",Kim Rand,0000-0001-7692-4099,Akershus University Hospital,"Maths in Health and the Health Services Research Centre, Akershus University Hospital",66,1507-VS;1854-EO;2014070;2015070;2015250;2015260;2015270;20190580;20191190;209-RA;2471-RA;2540-EO;2626-RA;309-RA
Knut Stavem,A5033845511,accept,"Exact name, Norwegian institutional context, and extensive quality-of-life/EQ-5D record are consistent. The profile contains the supplied project title, ""Validity of EQ-5D-5L breathing and cognition bolt-ons in non-hospitalized patients after COVID-19"", directly confirming the identity.",Knut Stavem,0000-0003-4512-8000,University of Oslo,Akershus University Hospital,287,1816-RA
Kompal Sinha,A5026880787,accept,"Exact name and a coherent health-economics and socioeconomic research portfolio support the match. The record includes quality-of-life valuation work (AQoL-8D and adolescent AQoL-6D) alongside India-focused poverty, food, and inequality research, consistent with the India EQ-5D project.",Kompal Sinha,0000-0003-4318-6100,International Labour Organization,,93,430-RA
KM Vermeulen,A5110324582,accept,The initials match exactly and the Groningen clinical record coherently includes health-related quality-of-life measurement and cost-effectiveness studies. Its patient-outcomes focus is consistent with the supplied Descriptive Systems project on selecting health attributes.,KM Vermeulen,,University Medical Center Groningen,,4,2016700
Koonal Shah,A5083575745,accept,"Exact name and NICE affiliation match. The extensive EuroQol valuation portfolio directly covers EQ-5D-5L value sets, EuroQol TTO protocols, EQ-5D-Y valuation, child/adolescent health states, and the conceptual valuation themes of the supplied projects.",Koonal Shah,0000-0002-4927-7858,National Institute for Health and Care Excellence,NICE,151,117-RA;2015050;2015440;2016150;2016370;20190490;20190660;82-RA
Klas Goran Sahlen,A5069574274,accept,"The exact accented name matches, and the record is a coherent Swedish health-economics and quality-of-life portfolio, including EQ-5D-5L valuation work (Vietnam) and Swedish health outcomes research, consistent with the Swedish EQ-5D-5L value-set project.",Klas-Göran Sahlèn,0000-0002-3975-4868,,,71,20180770
Kristina Burström,A5005862614,accept,"Karolinska Institutet profile is strongly coherent with the Swedish EQ-5D project: extensive EQ-5D valuation, Swedish population and register-based quality-of-life studies, and EuroQol coauthors including Paul Kind and Nancy Devlin.",Kristina Burström,0000-0001-9996-4317,Karolinska Institutet,,89,2016480
Kristina Secnik Boye,A5039006946,accept,"The Eli Lilly affiliation, Kristina S. Boye name variant, and sustained diabetes outcomes/utility research are coherent, including EQ-5D valuation, health-related quality-of-life, and treatment-utility publications.",Kristina S. Boye,0000-0002-5953-5929,Eli Lilly (United States),Eli Lilly and Company,243,
Lidia Engel,A5039737173,accept,"Exact-name profile coherently matches her Monash health-economics and PROMs work: EQ-HWB development, caregiver spillovers, aged-care research, and frequent collaboration with Mulhern, McCaffrey, and other relevant researchers.",Lidia Engel,0000-0002-7959-3149,Australian Regenerative Medicine Institute,Monash University,141,1481-PHD;150-RA;2008-RA;20190960;2173-RA;2453-RA
Ling-Hsiang Chuang,A5057802030,accept,"The profile is coherent with EuroQol valuation and descriptive-systems work: EQ VAS framework, EQ-5D index prediction, EQ-5D population trends, TTO values, and SF-12-to-EQ-5D conversion, alongside an appropriate health-economics network.",Ling‐Hsiang Chuang,,Dutch Health Care Inspectorate,,136,1482-RA;2407-BT;241-RA
Liv Ariane Augestad,A5054297438,accept,"Exact name and University of Oslo affiliation; a coherent health-economics and EQ-5D valuation record, including Norwegian EQ-5D population norms, EQ-VT values, and collaborations with Kim Rand and Knut Stavem.",Liv Ariane Augestad,0000-0003-3330-5081,University of Oslo,University of Oslo,31,
Louise Longworth,A5046647690,accept,"Exact name and Arrow affiliation; extensive coherent health-economics/EQ-5D record with UK HTA work, EQ-5D studies, and frequent EuroQol-linked coauthors including Brazier, Rowen, Mulhern, Tsuchiya, and Devlin.",Louise Longworth,0000-0003-2512-4862,Arrow International (United States),Arrow Health Economics,217,2013190;2016300;20200020;2115-EOI
Lucila Rey Ares,A5045433583,accept,Exact name; Argentine health-economics record includes the specified population-health evidence: Self-Reported Health Status and EQ-5D-3L Values of the Argentine Population. Broader Latin American cost-effectiveness work is coherent with the projects.,Lucila Rey Ares,,Pfizer (United States),,25,2015340;2016340
Lucky Ngwira,A5063482306,accept,"Name is compatible as Lucky G. Ngwira; Malawi-based public-health record coherently combines TB/HIV/COVID research with health-related quality-of-life and economic-evaluation work, consistent with the Chichewa EQ-TIPS and sub-Saharan Africa projects.",Lucky G. Ngwira,0000-0002-2695-8917,Kamuzu Central Hospital,,41,1734-TVG;1943-EO;20200030;2025-RA;2252-EO
Luis Rajmil,A5000326162,accept,"Name is compatible as Luís Rajmil; a coherent child/adolescent health-related quality-of-life and psychometrics record, including KIDSCREEN validation and pediatric PRO research, supports the EQ-5D-Y project.",Luís Rajmil,0000-0002-6625-0649,Agencia de Salud Pública de Barcelona,,211,2016490
madeeha malik,A5053689562,accept,The profile is a Pakistan-based pharmaceutical policy and outcomes researcher and includes the 2025 Pakistani stakeholder study on measuring and valuing child/adolescent health-related quality of life. This directly aligns with her Pakistan EQ-5D/EQ-5D-Y valuation projects.,Madeeha Malik,0000-0001-5824-9405,Health Services Academy,,104,1670-VS;20180660;344-VS
Marcel Jonker,A5063358434,accept,"The Erasmus University Rotterdam profile is a coherent EQ-5D valuation and discrete-choice-methods record. Recent works cover EQ-5D-3L value sets, DCE with duration, nonlinear time preferences, and direct DCE/cTTO comparisons, matching his extensive valuation projects.",Marcel F. Jonker,0000-0001-8433-1402,Erasmus University Rotterdam,,61,1413-RA;1484-RA;1489-RA;1611-RA;1612-RA;163-RA;1679-RA;1693-RA;1695-RA;1919-RA;20180320;20190170;20191070;20191180;2178-RA;2204-RA;356-PHD;415-RA
Maja Kuharic,A5007210675,accept,"The Northwestern University affiliation matches exactly, and the record contains multiple core EQ-HWB publications: its development, item validation, comparison with EQ-5D, and studies in Italian and US caregiver populations. Coauthors include established EQ-HWB collaborators.",Maja Kuharić,0000-0003-3696-9086,Northwestern University,Northwestern University,84,1514-RA;1811-RA;1915-RA;2037-RA;2040-RA;2042-RA;414-PHD
Malin Regardt,A5010406225,accept,"The Karolinska rheumatology record is coherent, centered on inflammatory myopathies, patient-reported outcomes, and quality of life. It includes the Swedish-register study evaluating EQ-5D-3L and EQ VAS for ankylosing spondylitis, directly matching her project.",Malin Regardt,0000-0002-1908-5708,Karolinska University Hospital,,57,352-RA
Maksat Jumamyradov,A5067862987,accept,"This compact, coherent health-valuation/econometrics record includes the exact 2024 article 'Scale and rate heterogeneity in the EQ-5D-5L valuation,' directly matching project 1716-TVG, plus EQ-5D-Y valuation and DCE-methods work.",Maksat Jumamyradov,0009-0008-0180-7224,University of South Florida,,10,1716-TVG;207-RA;2428-RA
Margreet Franken,A5089696059,accept,"M Franken at Radboud has a coherent health-economics and melanoma record, including the 2024 abstract “Validity of EQ-5D-3L and EQ-5D-5L Using the Fact-M in Patients With Advanced Melanoma,” directly matching project 196-RA.",M Franken,0000-0003-4207-510X,Radboud University Nijmegen,,104,196-RA
Marisa Da Santos,A5070231679,accept,Marisa Santos matches the stated Instituto Nacional de Cardiologia affiliation and has a coherent Brazilian quality-of-life/health-economics record. The 2025 Dara Project article using EQ-HWB-9 and EQ-5D-5L directly matches project 1445-RA.,Marisa Santos,0000-0002-2174-6800,Instituto Nacional de Cardiologia,Instituto Nacional de Cardiologia,164,1445-RA;20190630
Mark Oppe,A5023709885,accept,"Exact name with a sustained EQ-5D valuation and health-economics record, including EQ-5D-5L valuation protocol, quality-control, and EQ-5D-Y valuation work. Coauthors and Erasmus MC affiliation are coherent with the listed EuroQol valuation projects.",Mark Oppe,0000-0003-4286-8855,Erasmus MC,EuroQol Research Foundation,109,2013220;2015300;2016140;2016590;452-RA
Mark Sculpher,A5060049178,accept,"Exact name, University of York affiliation, and a large coherent health-economics record (cost-effectiveness, QALYs, valuation and HTA) are consistent with the EQ-5D-5L valuation project.",Mark Sculpher,0000-0003-3746-9913,University of York,,641,20180710
Martijn Doeleman,A5038383689,accept,"Martijn J. H. Doeleman at Utrecht has a focused juvenile idiopathic arthritis record. His 2025 dissertation exactly matches project 2101-EO, and the profile includes JIA quality-of-life monitoring using EQ-5D-5L-Y.",Martijn J. H. Doeleman,0000-0003-4786-4108,Utrecht University,,13,2101-EO
Martin Härter,A5048738092,accept,"Universität Hamburg profile is a coherent mental-health, patient-centred communication and quality-of-life record, including SDM-Q-9 psychometrics and health-systems/QoL work consistent with the EQ-5D project.",Martin Härter,0000-0001-7443-9890,Universität Hamburg,,856,1719-RA
Martine Hoogendoorn,A5033706754,accept,"Erasmus MC profile centres on COPD and health economics and includes the exact 2021 EQ-5D-5L Plus Respiratory Bolt-On Birmingham COPD Cohort paper, directly matching both respiratory bolt-on projects.",Martine Hoogendoorn,0000-0002-7122-9780,Erasmus MC,,106,20190850;2339-BT
Marufa Sultana,A5035318354,accept,"Deakin University profile coherently covers Bangladeshi child health, healthcare use and health economics/quality of life, consistent with the Bangladesh child and EQ-TIPS/EQ-5D-Y projects.",Marufa Sultana,0000-0003-2475-6497,Deakin University,,107,1646-RA;2106-RA;2417-RA
María Belizán,A5058351382,accept,"IECS profile has a coherent Argentine health-outcomes and maternal-health record, including EQ-HWB development, EQ-HWB psychometric work, and 2026 Argentinean EQ-HWB-9 content validity.",María Belizán,0000-0002-8739-5249,Instituto de Efectividad Clínica y Sanitaria,,100,1885-RA;2412-BT;2589-RA
Matthijs Versteegh,A5086031530,accept,"Profile is a coherent Dutch health-economics and EQ-5D valuation record: it includes the Dutch EQ-5D-5L tariff, time trade-off research, mapping to EQ-5D, and frequent coauthorship with Simone Huygens.",Matthijs Versteegh,0000-0003-4804-235X,Huygens Institute for History and Culture of the Netherlands,Huygens & Versteegh,104,2013310;2359-PHD
Maureen Rutten-van Molken,A5010272673,accept,"Exact name and Erasmus University Rotterdam affiliation; extensive health-economics, quality-of-life, and utility-measurement record aligns with the EQ-5D-5L+R valuation project.",Maureen Rutten‐van Mölken,0000-0001-8706-3159,Erasmus University Rotterdam,,478,2015020
Meixia Liao,A5079423723,accept,"Exact name and National University of Singapore affiliation; multiple EQ-5D valuation, value-set, bolt-on, and psychometric papers with Nan Luo align directly with the dissemination project.",Meixia Liao,0000-0001-7859-3684,National University of Singapore,,17,1979-EO
Michael Herdman,A5006750775,accept,"Exact name, ORCID, and a strongly EuroQol-specific record: development of EQ-5D-5L and EQ-5D-Y, EQ-5D comparison studies, and collaborations with Devlin and Luo directly fit both projects.",Michael Herdman,0000-0002-8189-5357,National University of Singapore,Insight Consulting & Research,87,2014110;2016730
Michał Jakubczyk,A5015781187,accept,"Exact name and SGH Warsaw School of Economics affiliation; the record includes Polish EQ-5D 3L and 5L value sets plus recent time-trade-off, worse-than-dead, and bolt-on valuation studies matching the projects.",Michał Jakubczyk,0000-0002-0006-6769,SGH Warsaw School of Economics,"SGH Warsaw School of Economics, Poland",128,1530-RA;1574-RA;1585-RA;1689-RA;1930-RA;2009-RA;2015320;2016640;20190070;2132-RA;2143-RA;2144-RA;404-RA;431-RA
Michela Meregaglia,A5038451583,accept,"Exact name and Bocconi University affiliation; EQ-5D-5L Italian value-set and population-norms work, alongside broad quality-of-life and health-technology-assessment research, directly support both supplied projects.",Michela Meregaglia,0000-0003-0092-5970,Bocconi University,,73,2043-RA;351-RA
Mihretab Gebreslassie,A5085631323,accept,"The exact name and Stockholm County Council affiliation align, and the record coherently centers on health economics, HRQoL, health inequalities, and population EQ-5D research, including a population-based EQ-5D-3L study.",Mihretab Gebreslassie,0000-0001-9556-0075,Stockholm County Council,,21,1781-RA;2564-RA
Mimmi Åström,A5055089597,accept,"The exact Karolinska affiliation, repeated collaboration with Kristina Burström, and cohesive EQ-5D-Y work on Swedish adolescent norms, valuation, label development, and psychometrics directly match all supplied Youth projects.",Mimmi Åström,0000-0002-6711-5262,Karolinska Institutet,Karolinska Institutet,17,1776-RA;2015400;20190980
Min-Woo Jo,A5015763173,accept,"Exact name and Ulsan College affiliation; a sustained Korean health-economics and quality-of-life record includes EQ-5D-5L valuation, EQ-5D-3L/5L psychometrics, and SF-6Dv2 valuation work.",Min‐Woo Jo,0000-0002-4574-1318,Ulsan College,"Department of Preventive Medicine, University of Ulsan College of Medicine",231,
Mina Bahrampour,A5068470091,accept,"Exact name and University of Technology Sydney affiliation; record is coherent in health economics and EQ instruments, with Australian paediatric EQ-5D work and frequent EuroQol-linked coauthors including Mulhern, Devlin, and Norman.",Mina Bahrampour,0000-0002-6915-1865,University of Technology Sydney,University of Technology Sydney,30,2075-EOI;2416-BT;466-RA
Márta Péntek,A5064557440,accept,"Exact name and Obuda University affiliation; extensive coherent health-economics and quality-of-life record includes EQ-5D in Central/Eastern Europe, Hungarian EQ-5D valuation, and EQ-5D utility mapping.",Márta Péntek,0000-0001-9636-6012,Obuda University,Obuda University,349,
Nancy Devlin,A5103206776,accept,"Exact name and University of Melbourne affiliation; a strongly coherent health-economics and EQ-5D valuation record. Core works include the England EQ-5D-5L value set, EQ-5D and the EuroQol Group, EQ-5D-Y development, and current child valuation/EQ-TIPS studies.",Nancy Devlin,0000-0002-1561-5361,The University of Melbourne,University of Melbourne,380,1404-RA;1497-RA;2012050;2013040;2014020;2014170;2015060;2015100;2016320;2016570;2016571;2016630;2016631;20170010;20180210;20180650;20190220;202-RA;2274-TVG;370-RA;399-RA
Narcis Gusi,A5042480120,accept,"Compatible name variant and a coherent Spanish rehabilitation, physical activity, and health-related quality-of-life record. It includes EQ-5D-Y development and multinational feasibility/validity studies, directly matching the supplied youth EQ-5D projects.",Narcís Gusi,0000-0002-1001-8883,Complejo Hospitalario de Cáceres,University of Extremadura (Spain),254,20170290;355-RA
Nick Bansback,A5052496992,accept,"Exact name and a coherent Canadian health-economics, PROMs, shared decision-making, and utility-valuation record. It includes the Canadian EQ-5D-5L value set, discrete-choice utility work, and collaboration with EuroQol researchers including Nancy Devlin and John Brazier.",Nick Bansback,0000-0002-1510-3462,Providence Health Care,School of Population and Public Health,335,1624-EO;1880-TVG;2013290;2015040;2016030;20190470;2133-TVG
Nils Gutacker,A5023093255,accept,"Exact name and University of York affiliation, with a cohesive health-services/economics record focused on PROMs, EQ-5D outcomes, hospital performance, patient choice, and healthcare access. Examples directly support the supplied EQ-5D and routine PROM projects.",Nils Gutacker,0000-0002-2833-0621,University of York,"Centre for Health Economics, University of York",120,123-RA;1479-TVG;1925-TVG;2016450;20190910;2192-RA;2415-TVG;2653-TVG
