inspection_scope,name,openalex_id,decision,reason,chosen_name,orcid,affiliation,member_affiliation,total_works,project_ids
random_accepted,Sarah Derrett,A5021576811,accept,"Exact University of Otago affiliation and a coherent record in injury outcomes, health-related quality of life, and health systems research. Recent work on generic HRQoL instruments, EQ-5D-5L Nepal adaptation, and content validity directly aligns with the supplied EuroQol projects.",Sarah Derrett,0000-0003-2867-0498,University of Otago,University of Otago,237,1543-RA;1812-PHD;2014190;2015170;2229-TR
all_held,Shunya Ikeda,A5064794823,hold,"Although the profile includes Japanese EQ-5D valuation papers, it has substantial apparent name-collision contamination: unrelated CAR-T, oral microbiology, ICU, audiology, nursing, and 1970s–1990s works alongside the health-economics record.",Shunya Ikeda,0000-0002-1866-2155,Hiroshima University,,300,2013140;2014040
largest_accepted,Stirling Bryan,A5015667412,accept,"Exact Stirling Bryan with a large, coherent health-economics and quality-of-life record. It includes the Canadian EQ-5D-5L value set and current patient-reported-outcome work on hospital readmission, directly consistent with the two British Columbia projects.",Stirling Bryan,0000-0001-7093-3058,Vancouver Coastal Health,University of British Columbia,367,164-RA;1787-RA
all_held,Sun Sun,A5081188742,hold,"Although it contains relevant EQ-5D work with Burstrom and Lindholm, this generic-name profile has substantial incompatible contamination: smart grids, microgrids, wireless communications, superconductivity, database design, and video generation alongside the health record.",Sun Sun,0000-0001-5948-3025,,Parexel/Umeå University,,1561-RA
random_accepted,Suzana Karim,A5003389681,accept,"University of Dhaka profile directly matches her valuation projects through Peru EQ-5D-5L preference heterogeneity, Dutch EQ-5D-5L valuation, and related discrete-choice work; the coherent coauthor network includes Benjamin M. Craig.",Suzana Karim,0000-0002-3370-1554,University of Dhaka,,6,138-RA;139-RA;20190230R1
all_held,Thao Thai,A5050171927,hold,"Name is compatible, but the 8-work record is 2018–2020 Vietnamese HIV, dengue, cardiovascular and media research, with no EQ-HWB, psychometric, mental-health, Australian, or supplied-project connection.",Thao Phuong Thi Thai,,,,8,1797-RA;1887-RA;1896-RA
largest_accepted,thomas kohlmann,A5031953969,accept,"Exact name and Greifswald medical affiliation match. The record includes EQ-5D-5L interim scoring, an EQ-5D-5L psychometric review, quality-of-life/economic-evaluation work, and the stated EQ-5D scoring focus.",Thomas Kohlmann,0000-0002-5956-8309,Universitätsmedizin Greifswald,University of Greifswald,430,20170130
largest_accepted,Ulrike Ravens-Sieberer,A5049804622,accept,"The name, Hamburg affiliation, and extensive child/adolescent health-related quality-of-life record are coherent. It includes the foundational Development of the EQ-5D-Y paper and sustained KIDSCREEN/KINDL psychometric research, directly matching the supplied pediatric EQ-5D-Y project.",Ulrike Ravens‐Sieberer,0000-0002-2031-095X,Universität Hamburg,University Medical Center Hamburg-Eppendorf,462,2016270
largest_accepted,Wolfgang Greiner,A5001823062,accept,"Exact-name Bielefeld University profile includes the German EQ-5D-5L value set, EQ-5D-Y development and validation, and extensive health-economics work, directly matching the supplied EuroQol projects.",Wolfgang Greiner,0000-0001-9552-6969,Bielefeld University,Bielefeld University,570,1603-RA;2012020;2013200;2014030;2014160;2015200;2016530;20170020;20180010;20180260;20180510;2433-RA
all_held,Xin Zhang,A5100427821,hold,"Profile is Lixin Zhang, not Xin Zhang, and is dominated by plant biology, natural products, genomics, and unrelated highly heterogeneous works; it provides no coherent EQ-5D/atopic-dermatitis research identity.",Lixin Zhang,0000-0003-0894-9520,University of Science and Technology Liaoning,,1125,1972-RA;2649-EO
all_held,Yan Feng,A5053760337,hold,"Although the name can be reordered as Feng Yan, the reported affiliation is a Chinese hydrology laboratory and the record centers on neurology, hemorrhage, and molecular cancer research, not QMUL health economics or EQ-5D valuation.",Feng Yan,0000-0001-8663-6859,State Key Laboratory of Hydrology-Water Resources and Hydraulic Engineering,Queen Mary University of London,545,1650-RA;2015090;2015330;2016330;20180740
all_held,Yap Xin Yi,A5058382403,hold,"Profile name Yajun Yi is incompatible with Yap Xin Yi. Its dominant record is molecular oncology/prostate and head-and-neck cancer, with older unrelated biomedical works; the single EQ-TIPS conference abstract is insufficient amid substantial name-collision contamination.",Yajun Yi,0000-0002-7135-6325,Beijing Children’s Hospital,,79,2290-EO
all_held,Yiting Luo,A5101270824,hold,"This 52-work profile is substantially mixed and overwhelmingly unrelated to health-outcomes research: wireless localization, nonlinear optical crystals, hydrogels, biosensing, business, and materials work. One paediatric HRQoL review cannot safely identify it with the EQ-5D climate and valuation researcher.",Yiting Luo,,Anhui Polytechnic University,,52,1867-RA;2036-RA;2458-RA
all_held,Zhihao Yang,A5028809099,hold,"Although 71 works concern EQ-5D/EQ-HWB and the Guiyang Medical University affiliation matches, the profile has substantial collision contamination: 2010-14 civil/geotechnical and coal-reservoir papers plus 2026 molecular-property and marine-phytoplankton papers are unrelated to the EuroQol record.",Zhihao Yang,0000-0001-5468-0847,Guiyang Medical University,Guizhou Medical University,108,1485-RA;1534-EO;1598-RA;1941-RA;20180070R1;20180230;20180610;20190150R1;20190151;20190370;20190900;20191020;215-2020RA;2180-RA;221-RA;2225-BT;2276-RA;2348-BT;353-RA;456-RA;75-EO;92-2020RA
