record_id,title,production_batch,production_outcome,production_code,production_reason,audit_batch,audit_outcome,audit_code,audit_reason,outcome_agreement
P73eaa4b74ad5,Risk Factors for Postoperative Stem Revision in Patients with Periprosthetic Femoral Fractures after Primary Total Hip Arthroplasty: Nationwide Outcomes Based on the Dutch Arthroplasty Registry.,batch-0056,exclude,E4,"[E4] This nationwide registry study identifies clinical and surgical risk factors for hip stem revision, not a health measurement or valuation method.",batch-0005,exclude,E4,[E4] The registry study estimates clinical risk factors for hip implant revision and does not study health measurement.,true
P10211b8d057c,A Delphi study on valuing DNA sequencing in oncology: a European stakeholder developed framework for assessing next generation sequencing and comprehensive genomic profiling diagnostics,batch-0029,exclude,E4,[E4] This Delphi study develops a value-assessment framework for oncology genomic diagnostics and reimbursement.,batch-0005,exclude,E4,"[E4] The Delphi study develops an HTA value-assessment framework for genomic diagnostic technologies, not health-state valuation.",true
P060aa0a07a76,Model-Based Economic Evaluations of Interventions for Dementia: An Updated Systematic Review and Quality Assessment,batch-0092,exclude,E2,"[E2] This systematic review assesses economic evaluations of dementia interventions, where cost-utility results are the subject rather than valuation methods.",batch-0005,exclude,E2,"[E2] The review assesses methods and reporting in economic models of dementia interventions, where utilities are model inputs or results.",true
P7b334e4336f3,Screen Time and Standardized Academic Achievement Tests in Elementary School,batch-0057,exclude,E4,[E4] This cohort study investigates associations between childhood screen time and academic achievement.,batch-0005,exclude,E4,[E4] The cohort study associates childhood screen time with later academic test performance and is outside health measurement.,true
Pe43bed937331,Systemic reactogenicity is a correlate of MF59 adjuvant-moderated immunogenicity in influenza vaccinated children,batch-0083,exclude,E4,"[E4] Examines associations between vaccine reactogenicity and antibody responses in children, a clinical immunogenicity study.",batch-0005,exclude,E4,[E4] The study examines vaccine reactions as biomarkers of immune response rather than health or wellbeing measurement.,true
Pa04ae3701053,Embedding a Choice Experiment in an Online Decision Aid or Tool: Scoping Review.,batch-0066,exclude,E3,[E3] This review examines choice experiments embedded in tools for patients to compare or choose treatments.,batch-0005,exclude,E3,[E3] The review studies choice experiments embedded in aids for treatment decisions rather than health-state valuation.,true
P59e5f1b652fa,A microcosting and cost consequence analysis from a randomized controlled trial comparing genome sequencing with exome sequencing for genetic diagnosis,batch-0048,exclude,E4,[E4] This microcosting study compares genomic diagnostic pathways and diagnostic yield rather than measurement or valuation.,batch-0005,exclude,E2,[E2] The microcosting analysis compares sequencing costs and diagnostic yield for an economic evaluation.,true
Pb1f8adca5f68,Discrete choice experiment on the preferences for continuing medical education training programs among primary health care physicians in China,batch-0071,exclude,E3,[E3] The discrete-choice experiment elicits physicians' preferences for continuing-medical-education programme attributes.,batch-0005,exclude,E3,[E3] The DCE elicits physician preferences for the format and content of continuing education programs.,true
Pdbf650c4d161,"Influence of stage at cancer diagnosis on NHS hospital care costs in England: a national, retrospective, population-based cohort study using individual patient-level data",batch-0021,exclude,E4,[E4] This population cohort estimates hospital cancer-care costs by stage to inform economic evaluations.,batch-0005,exclude,E2,[E2] The study estimates cancer-care costs by stage as inputs for economic evaluations of early diagnosis.,true
P1ce08d1431d4,Society of Critical Care Medicine 2024 Guidelines on Adult ICU Design: Executive Summary,batch-0033,exclude,E4,[E4] This executive summary provides clinical guidelines for ICU physical design and infrastructure.,batch-0005,exclude,E4,"[E4] The guideline concerns physical ICU design, infection control, infrastructure, and staff spaces rather than health measurement.",true
P1c148ff9a6fa,COVID-19-related health utility values and changes in COVID-19 patients and the general population: a scoping review,batch-0098,exclude,E1,[E1] This review describes the health-utility burden of COVID-19 and related policies rather than a valuation method.,batch-0005,exclude,E1,[E1] The review synthesizes health utility outcomes for COVID-19 populations for later economic evaluations.,true
Pe58589b32a4f,Uncertainty in Economic Evaluation: A Pragmatic Guide for Health Technology Assessment (HTA) Agencies in Resource-Constrained Settings.,batch-0022,exclude,E4,[E4] This guide concerns uncertainty analysis for health-technology economic evaluations and does not study health measurement or health-state valuation.,batch-0005,exclude,E4,"[E4] The guide concerns uncertainty analysis in economic evaluation and HTA decisions, not health measurement or valuation.",true
P470669829dcb,The effect of feedback on the diagnostic process of physicians at the emergency department: a systematic review,batch-0007,exclude,E4,[E4] Systematic review concerns feedback to emergency physicians and diagnostic performance.,batch-0005,exclude,E4,[E4] The review studies feedback methods for improving physician diagnostic performance rather than health measurement.,true
P4906d51ea7bd,CT Perfusion Imaging After Selection for Late-Window Endovascular Stroke Treatment,batch-0044,exclude,E4,[E4] This secondary stroke-trial analysis evaluates CT perfusion for treatment selection and clinical outcomes.,batch-0005,exclude,E4,"[E4] CT perfusion parameters are clinical imaging markers used to select stroke treatment, not health or wellbeing measures.",true
Pabef64274879,The role of women's empowerment in the uptake of maternal health services in low- and middle-income countries: a propensity score-matched analysis,batch-0069,exclude,E4,"[E4] This propensity-score analysis estimates effects of women's empowerment on maternal-service uptake, not measurement or valuation.",batch-0005,exclude,E4,[E4] The study estimates the association of women's empowerment with use of maternal health services.,true
P3c3cb82a8a4a,Consumers' experiences with and outcomes from Better Access: Results from a national survey.,batch-0006,exclude,E4,[E4] This survey evaluates consumer experiences and outcomes of a publicly funded mental-health service.,batch-0005,exclude,E4,"[E4] The survey reports consumer experience, satisfaction, and perceived treatment outcomes without evaluating a health measure.",true
