batch_id	record_id	verdict	source_locations	repair	ontology_gap
A023	V2-P050	MAJOR	Full article, Results > Comparison with the EQ-HWB, paragraph 1: “alignment rates of 68% (18/57) for sub-themes” | Extraction record, Finding f3, statement and first aggregate value | Full article, Methods > Data collection, paragraph 1: six participants tested the topic guide, but the article does not state that all six had the reported comprehension problem | Extraction record, Finding f1, aggregate value	Add a SourceConflict for the principal sub-theme alignment result. Preserve the two unresolved source claims separately: 68% alignment and 18/57 alignment. State that 18/57 equals about 31.6%, not 68%, and do not infer whether the intended numerator was 18 or approximately 39. Revise f3 so that it does not present “68% (18/57)” or “18 of 57 aligned” as one settled result; link it to the new SourceConflict. Keep the 88% (7/8) theme result because it is arithmetically consistent after rounding. In f1, remove the aggregate that assigns the value 6 to the comprehension finding: six is the total pilot sample, but the source does not state that all six participants found “poor well-being” difficult. Keep six only in sam1, or state it only as the total pilot sample without using it as the denominator or value for that finding.	The formal analysis compares a newly developed QoL conceptual framework with the EQ-HWB conceptual framework. No comparison_structure value represents a between-framework comparison. The existing des7/gap1 correctly records this controlled-vocabulary gap; do not replace it with BETWEEN_INSTRUMENT because the Chinese framework is not an instrument.
A024	V2-P051	MAJOR	Full article, Methods > Brief overview of the EQ-DAPHNIE project, paragraphs 1–2 | Full article, Methods > Pilot phase design, final paragraph | Full article, Methods > Main data collection design, paragraphs 1–4 | Full article, Methods > Data analysis, paragraph 2 | Full article, Results > Pilot phase: key findings and survey design adjustments, paragraphs 3 and 6 | Full article, Results > Summary of quality control indicators and quota achievement in the main data collection, paragraph 1 | Full article, Table 1, N (%) of completers rows for the 15 main-study countries | Full article, Table 4, proportional quota achievement footnote and United Kingdom age 18–24 row | Full article, Discussion, paragraph beginning “Quota achievement also varied...” | Full article, Discussion, paragraph beginning “Dynata utilizes a nonprobability...” | Full article, Abstract > Methods	Keep the inclusion decision, EuroQol support, publication form, single Study, two principal empirical parts, METHODS_RESEARCH family, purpose, and reported status. Remove d2 and d6: the article reports respondent feedback but does not report qualitative collection, qualitative analysis, or mixed-method integration. Change du2 to PARTICIPANT_RESPONSE and remove “qualitative” claims unless another source gives direct evidence. Change sam7 from IDENTIFIED to APPROACHED because the article states that invitations were distributed to these panel sizes. Add the reported 200-respondent-per-country soft-launch sample with source-faithful stage text. Add the omitted translation and local-adaptation workflow as a flat StudyPart with component TRANSLATION_ADAPTATION_WORKFLOW, temporal NOT_APPLICABLE, comparison NONCOMPARATIVE, and allocation NOT_APPLICABLE; move si2 to this part and add a DOCUMENTARY_SOURCE DataUse for survey content, a DIRECT_CURRENT_ACTIVITY MethodUse with function INSTRUMENT_TRANSLATION_OR_ADAPTATION, and separate TRANSLATION_SOURCE and TRANSLATION_TARGET InstrumentUses for the finalized source survey and localized survey versions. Add the principal omitted quality-control methods: Dynata IP duplicate monitoring, government-ID validation, Virtual Resume matching, and AI-driven QualityScore, each as a QUALITY_CONTROL MethodUse with its exact source label. Add poststratification weighting as a part2 QUANTITATIVE_ANALYSIS MethodUse. Add the real-time monitoring dashboards as a SoftwareUse with function VISUALIZATION_OR_REPORTING. Change Google reCAPTCHA v3 SoftwareUse su2 from DATA_COLLECTION to DATA_MANAGEMENT; keep its separate QUALITY_CONTROL MethodUse. Split iu8 into separate exact uses for the EQ-HWB short and long versions. Add the directly reported final-survey instruments ASCOT, WHO-5, “2-item versions of the PHQ-9,” and “2-item versions of the GAD-7,” using exact source labels, CURRENT_HEALTH_MEASUREMENT, and empty registry IDs pending identity review; extend adm2 to these uses. Remove iu5 and iu10 as VALUATION_TARGET uses: the EQ-5D-5L descriptive system was used to classify responses to the vignette, while the vignette health state belongs in TaskDesign. Add a SourceConflict stating that the abstract reports 68,411 main-phase respondents, while the 15 country completer counts in Table 1 sum to 68,416; do not silently replace either statement. Add another SourceConflict for Table 4: its footnote defines proportional quota achievement as quota n/sample n, but its values use sample n/quota n, as shown by 340/541 = 62.9% for UK participants aged 18–24.	
A025	V2-P052	MINOR	Full article: Methods > UK MS register and population, final paragraph | Full article: Methods > Statistical analyses > Cross-sectional analyses, first paragraph | Full article: Methods > Data and instruments, Table 1, Relapse | Full article: Methods > Data and instruments, Table 1, Onset of new symptoms | Full article: Methods > Data and instruments, EQ-5D-3L and MSIS-8D bullets; References 24 and 15 | Full article: Results > Construct validity, Table 3 footnote | Full article: Results > Responsiveness, Table 5 key | Full article: Discussion > Responsiveness analysis, paragraph beginning “The MSIS-8D descriptive system” | Full article: Conclusions, first sentence | Full article: Methods > UK MS register and population, ethics-approval sentence | Full article: Declarations > Ethical approval	Keep the inclusion decision, Study unit, family, purposes, parts, designs, instruments, principal findings, and limitations. Make these local repairs. (1) Replace pop1.inclusion_description with the general population requirements: age 18 years or older and consent through the UKMSR Terms of Service. Do not apply the complete-EQ-5D restriction to all parts. Keep the part1 criterion as response to at least one regularly administered instrument in Spring 2023. Put the complete Spring 2023 EQ-5D-3L response and at least four additional occasions restriction on part2 and part3 only. (2) Add the exact part3 event-selection rules. For relapse, record the matching calendar month and year, a preceding value within 400 days, no current relapse at that preceding assessment, and permission for repeated qualifying events. For symptom onset, record onset during the study period, a preceding value within 400 days, a value within 30 days after onset, at least two new symptoms between assessments, use of the first onset date for a repeatedly reported symptom, and permission for repeated qualifying episodes. Represent these as part3 SAMPLING MethodUse records or in the linked sample eligibility descriptions. (3) Split iu3, iu4, scu1, and scu2 into part2 and part3 uses. Utility scoring did not apply to the part1 missing-data analysis. Change the scoring labels to exact cited products: the Dolan (1997) UK EQ-5D-3L value set and the Goodwin, Green, and Spencer (2015) MSIS-8D preference-based index or tariff algorithm. Keep registry identifiers empty until deterministic review. (4) Add Bonferroni correction as a measurement-property analysis method for part2 and part3, with the reported adjusted threshold of p < 0.000962. (5) Preserve the authors’ conclusion that the MSIS-8D had superior content validity as an Interpretation. Do not create a measured CONTENT_VALIDITY outcome because the current study did not directly perform a content-validity analysis. (6) Add a SourceConflict for the ethics identifier: Methods reports 21/SS/0085, but Declarations reports 21/SW/0085.	
A026	V2-P053	MINOR	Full article, Methods: EuroQol European Quality of Life 5 Dimensions 3 Levels (EQ-5D-3L) | Full article, Methods: Multivariable Analyses | Full article, Results: Factors Influencing HRQoL Progression, Table 3 | Full article, Results: Description of HRQoL and Clinical Measures Over Time | Full article, Results: Sample, Table 1 | Full article, Discussion: Strengths and Limitations, paragraphs 2, 4, and 5	Keep the inclusion decision, EuroQol support, single Study, primary family, design, main instruments, methods, and principal results. Make these local repairs: (1) Remove Outcome o2 and Finding f5 as scientific outcome records. The English, German, and European value-set comparison is a scoring decision reported in Methods, not an author-defined outcome. Retain the ScoringUse records and state that the English and German value sets were evaluated as alternatives, while the European value set produced the reported utility indices. (2) Replace pop1's inferred age range with source-reported information, such as the mean baseline age of 50.45 years and the age categories in Table 1. The category bounds do not prove that observed ages ranged exactly from 18 to 89. (3) Give the f4 aggregate values an exact denominator of 344 patients if Figure 2 confirms that denominator. Otherwise, remove those aggregate values because the paragraph does not give a dimension-specific denominator. (4) Revise l2 to say that the pooled source data span more than 15 years. The article does not say that the two datasets differ from each other by more than 15 years. (5) Add a SourceConflict for RLS: Methods and Table 3 include RLS in the primary panel model, but Strengths and Limitations says that diagnostic differences led to exclusion of RLS from the main analysis. (6) Add a SourceConflict for baseline disease status: Sample Selection calls the baseline patients manifest cases, while Strengths and Limitations says that eight patients with premanifest cerebellar syndrome were retained.	
A027	V2-P054	MAJOR	Full article, Methods > Secondary Datasets, paragraph 1 and Table 1, Target population row | Full article, Methods > Primary Analyses, final paragraph | Full article, Results > Main Effects, paragraphs 1–5 and Tables 2–4 | Full article, Results > Standard Errors, paragraph 2 and Figure 5 | Full article, Results > Response Behaviors, paragraphs 1 and 3	Keep the inclusion decision, EuroQol support, publication form, single Study, METHODS_RESEARCH family, and three dataset StudyParts. Add principal findings for each dataset: CVP severe-side-effect risk was the most important attribute and vaccination effectiveness had the largest main effect; CSOR emergency major operations was the most important effect and the six-to-two reduction was largest; Y-3L pain or discomfort was the most important effect and the reduction from a lot to some pain or discomfort was largest. Add the important method-performance finding that relaxing the additivity assumption did not significantly change any CSOR or Y-3L conditional-logit estimate. Correct f4 so that “all ZBT estimates” covers all three surveys, not only Y-3L; keep the separate result that all Y-3L conditional-logit estimates were positive and significant. State for every analyzed population that this synthesis used panel respondents only; remove the claim in pop3 that the analyzed population included respondents from other online sources. Add an exact part3 MethodUse for “paired-comparison tasks” as both a source-study preference-elicitation activity and a current-study comparison object, and link td6 and the predictive-validity findings to it. Remove the InstrumentUse links from o1 and o2 because task time, button use, and positional behavior concern the task methods and TaskDesign records, not the descriptive-system instruments. Add a SourceConflict for the statement that each respondent completes “20 kaizen tasks” while the same sentence reports “T = 2”; keep the reported 60-respondent prediction but show this unresolved task-count conflict.	
A028	V2-P055	MINOR	Full article: Method—Procedure, paragraphs 1 and 3, including the three listed CarerQol items | Full article: Method—Analysis, paragraph 1 | Full article: Discussion, paragraphs 2 and 5–7 | Full article: Conclusions	"Make these local corrections: (1) Change iu5 source_label from the whole ""CarerQol"" instrument to ""CarerQol items a, b, and e (caregiver fulfilment, care-recipient relationship problems, and financial problems)."" The study used only these three selected items. Keep COMPARATOR only as a comparison of selected content, and do not imply that participants completed the full CarerQol. Update td2 and related references to use the same exact label. (2) Change ad1 completion to participant self-report during an interviewer-facilitated think-aloud interview, with interviewer explanation, demonstration, and probing. The source does not state that the interviewer administered the EQ-HWB responses. (3) Remove pr2 as a governing ProtocolUse. The authors report use of COSMIN concepts as the framework for content analysis, but they do not report that the cited COSMIN checklist governed the study protocol. Retain this fact in mu5 and the content-validity outcomes. (4) Add the author interpretation that the seeing and hearing items may be removed from the long EQ-HWB because the authors judged them less relevant and stated that removal would not affect instrument cohesion. Link it to f1 and iu1. Also preserve the conclusion that further research is warranted on their placement and relevance."	
A029	V2-P056	MAJOR	Full article, Abstract > Objective | Full article, Introduction, final paragraph | Full article, Methods > Pilot Phase, second paragraph | Full article, Methods > Preferences-Elicitation Techniques | Full article, Methods > Sampling Method and Study Population | Full article, Methods > Interview Process, final sentence | Full article, Methods > Data Analysis and Model Selection, DCE-analysis paragraph | Full article, Results > Data Cleaning, first paragraph | Full article, Results > Participants’ Characteristics, Table 1 | Full article, Results > Composite Time Trade-Off and Discrete-Choice Experiment Data, second paragraph | Full article, Discussion, paragraph on worse-than-dead observations | Full article, Discussion, limitations paragraphs | Full article, Conclusion | Full article, References 22–23	Keep the inclusion decision, EuroQol support, ORIGINAL_RESEARCH_ARTICLE form, single Study, VALUE_SET_DEVELOPMENT family, purposes, and main value-set findings. Add a publication-level `corrects` link from this article to the retracted predecessor, DOI 10.1007/s40273-021-01002-z. Record that DOI 10.1007/s40273-021-01055-0 is the retraction notice that retracts the predecessor; do not assign RETRACTED status or a notice form to the current article. Add a SourceConflict for the DCE description: the task section says that participants chose between two impaired health states, but the analysis section describes the binary outcome as 0 for dead and 1 for full health. Preserve both statements and do not silently replace them with A/B coding. Add a SourceConflict between the broad nationally representative claim and the reported underrepresentation of rural, illiterate, and elderly participants. Add the source-reported full-sample stage of 1303 completed interviews or participants from Table 1. Link the participant and interview flow samples to pop1 where applicable. Keep 1378 as the conducted or enrolled flow count, 216 as the pilot count, 75 and 113 as separate exclusions, and 974 as analyzed. Change mu1 to study-level because the sampling section governs the whole study, including the pilot and formal phases. Remove PREDICTOR_MEASURE from iu5: the country-specific questionnaire was used to describe demographics and views, and the article does not report it as a predictor. Use an UNMAPPED_VALUE gap for its instrument function. Remove the unsupported claim in du3, si1, and f2 that participant feedback caused the visual-aid adaptation. The source supports a causal influence only for replacement of the wheelchair example with the migraine example; it says that the visual aids were used and tested, but it does not say that participant feedback caused their introduction. Delete du3 as a separate qualitative data source unless evidence of a defined qualitative collection is available. In ad3, keep `Egyptian Arabic` as the instrument language and keep graphics and colored cards only under assistance or channel. Add a principal finding that 40.9% of the 8842 unflagged cTTO observations were worse than dead. Add the authors’ interpretation that this high proportion could relate to cultural and social factors and to reported concern about being a burden on family and friends.	The controlled `instrument_function` vocabulary has no suitable value for iu5, a questionnaire used only for descriptive sample characteristics and views. Mark this as `UNMAPPED_VALUE`; do not create a paper-specific controlled value.
A030	V2-P057	MAJOR	Full article—Methods, opening paragraph: three author-defined recruitment samples and Data Cut 2 | Full article—Methods: Data Collection, paragraphs 1–3: 2-day follow-up is confined to a subset of Sample 2; other participants received the 4-week follow-up | Full article—Methods: Instruments, paragraphs 1–2: AQoL-6D and HUI3 were excluded from Sample 1 and randomized only in Samples 2 and 3; core-instrument order was randomized separately | Full article—Table 1, rows “Recruited via hospital,” “Online panel general population,” and “Online panel condition groups”: n=759, 1531, and 3655 | Full article—Methods: Convergent and Divergent Validity: PedsQL is the comparator for the other five instruments | Full article—Methods: Known-Group Validity: sensitivity groups use chronic-condition status, EQ VAS ≤80, and PedsQL thresholds ≤69.7 and ≤74.2 | Full article—Methods: Responsiveness, paragraphs 1–4: caregiver-reported health change defines the responsiveness groups | Full article—Table 2, note below table, and Table 1, row “Completed core HRQoL instruments”: conflicting special-healthcare-need denominators of 2560 and 2583; 459/17.8% is also inconsistent with 2560 | Full article—Discussion, limitations paragraph: unavailable or country-limited value sets restrict utility scoring and economic-evaluation use	"Keep one Study, its family, purpose, status, inclusion decision, and publication assessment. Add three StudyParts for the author-defined hospital sample, online-panel general-population sample, and online-panel condition-group sample. Add part-linked initial-completion Samples of 759, 1531, and 3655 children. Split the bundled sampling method by part. Link the short-interval DataUse, its Sample, and its administration only to the general-population online-panel part. Scope AQoL-6D and HUI3 InstrumentUses to the two online-panel parts; do not leave them study-wide because Sample 1 did not receive them. Split td1 so that core-instrument order applies study-wide, while the randomized additional-instrument blocks apply only to Samples 2 and 3. Remove the follow-up schedule from TaskDesign.duration and keep it in Administration/DataUse. Remove the study-wide RANDOMIZED allocation value. Use part-specific allocation values: NOT_APPLICABLE for Sample 1 and RANDOMIZED for Samples 2 and 3; keep randomized instrument order in TaskDesign. Retain the study-level component, time, and comparison axes as defaults where applicable.

For convergent and divergent validity, remove iu1 from out4 and from f5 as a measurement-property test object. Link PedsQL through iu13 as the comparator, and link EQ-5D-Y-3L, EQ-5D-Y-5L, CHU9D, AQoL-6D, and HUI3 as the tested instruments. Add a separate PedsQL InstrumentUse with PREDICTOR_MEASURE for the PedsQL sensitivity cut points. Add StudyFactors for chronic-condition status, EQ VAS ≤80, PedsQL ≤69.7, and PedsQL ≤74.2. Use STRATIFIER for these factors. Change sf4 and sf5 from TARGET_STAGE to STRATIFIER because health-change categories define analysis groups and are not stages or time points. Add or revise an administration/method record to state that caregivers supplied the change-in-general-health and change-in-main-condition anchors at follow-up.

Add a SourceConflict for the special-healthcare-need denominator: Table 1 reports 2583 core-instrument completers, while the note below Table 2 reports 2560; Table 2 also reports 459 as 17.8%, which does not calculate to 17.8% with a denominator of 2560. Do not silently select one denominator in f2; preserve both statements and link the finding to the conflict. Add a Limitation for the source-reported restriction caused by unavailable or country-limited value sets. The existing concept about the mismatch does not replace its limitation role."	
A031	V2-P058	MINOR	Full article: Results—Psychometric Criteria Overview, first paragraph and Table 2 | Full article: Methods—Study Selection, Data Extraction and Synthesis, third paragraph | Full article: Study Strengths and Limitations, first paragraph | Full article: Declarations—Funding	Remove iu7 (HINT-8) from outcome o2. The article reports no known-group validity analysis for HINT-8. Add a SourceConflict for data-extraction independence: Methods states that JF extracted the data and VS confirmed accuracy, but Study Strengths and Limitations states that two reviewers independently performed data extraction. Preserve both statements and their locators. In the assessment sources, delete the nonexistent locator “Methods—Funding”; retain Structured metadata—funding and Declarations—Funding.	
A032	V2-P059	MAJOR	input/projects/1711-RA/papers/doi_10.1007_s40273-025-01550-8.xml, Results—Synthesised Recommendations, paragraph 1 and Table 4 | input/projects/1711-RA/papers/doi_10.1007_s40273-025-01550-8.xml, Methods—Data Synthesis | input/projects/1711-RA/papers/doi_10.1007_s40273-025-01550-8.xml, Results—Characteristics of Included Evidence, paragraph 2 and Table 3 | input/projects/1711-RA/papers/doi_10.1007_s40273-025-01550-8.xml, Results—Mapping of Evidence and Table 5 | input/projects/1711-RA/papers/doi_10.1007_s40273-025-01550-8.xml, Results—Evidence Selection, paragraphs 1–2 and Figure 1 | input/projects/1711-RA/papers/doi_10.1007_s40273-025-01550-8.xml, Discussion, paragraphs 2–5 under the main Discussion and limitations text | input/projects/1711-RA/papers/doi_10.1007_s40273-025-01550-8.xml, Funding and Declarations—Conflicts of interest/competing interests	Keep the inclusion decision, EuroQol support, REVIEW_ARTICLE form, single Study, EVIDENCE_SYNTHESIS family, purposes, and status. Make these repairs: (1) Represent the content of the principal 15-item framework, not only its title and item count. Add 15 source-faithful Concept or Finding records linked to prod1 for: develop a collaboration plan or protocol; involve suitable representatives from target groups; involve collaborators at key stages; define responsibilities and roles; ensure collaboration adds value; consider practical arrangements; use a flexible approach; provide training; resource collaboration appropriately; foster sustained and meaningful engagement; adapt communication and resources; maintain ethical standards; evaluate engagement; give feedback to collaborators or communities; and report engagement fully and transparently. (2) Move o1 and f2 from part1 to part3 because the framework is the result of thematic synthesis. Keep part1 as the recommendation-search evidence source. (3) Change d11 from BETWEEN_CONTEXT to NONCOMPARATIVE. Mapping evidence to framework criteria is not a comparison of places, countries, modes, or settings. (4) Expand mu7 to state that two researchers mapped each valuation study to each recommendation, graded evidence as sufficient, insufficient, or uncertain with lenient criteria, and checked source articles when necessary. (5) Add part2 SOURCE_STUDY_ACTIVITY uses for the exact valuation methods reported in Table 3: visual analogue scale, time trade-off, composite time trade-off, standard gamble, and discrete choice experiment, with PREFERENCE_ELICITATION as the function. Add the reported instrument uses for EQ-5D-5L and EQ-5D-Y as current-health measures and for PASI and Neuro-QoL as sources of health-state descriptions. Do not describe these as methods performed by the review itself. (6) Add the principal characteristics that 12 of 15 included valuation studies were vignette studies, eight were conducted in the UK, three in Australia, and all but two used engagement to inform or review health states or related content. (7) Complete the evidence-flow samples: search 1 included 14 scholarly-database records, seven grey-literature or reference-screening records, and one record added after peer review; search 2 included 15 scholarly-database studies and none of the 80 additional records. Preserve each counting unit and denominator. (8) Add the important limitation that the mapping measures reported engagement only and cannot determine whether unreported engagement occurred. Also record the authors’ qualification that the framework is neither exhaustive nor prescriptive, needs consensus-based development, and can require adaptation by setting and collaborator group, especially for children. (9) Add a typed StakeholderInvolvement item for the EuroQol Research Foundation’s reported influence on the decision to conduct an additional EuroQol-specific evidence search; state that the search found no additional evidence and that the funder had no further role.	
